"id","port_number","transport_protocol","service_name","description","registration_date","modification_date","reference","assignment_notes","traffic"
"99",73,"tcp","netrjs-3","Remote Job Service",,,,,2.40666580722051e-08
"100",73,"udp","netrjs-3","Remote Job Service",,,,,1.52918525388216e-10
"101",74,"tcp","netrjs-4","Remote Job Service",,,,,2.13010266687173e-08
"102",74,"udp","netrjs-4","Remote Job Service",,,,,4.12585314751965e-11
"103",76,"tcp","deos","Distributed External Object Store",,,,,2.33028022047547e-08
"104",76,"udp","deos","Distributed External Object Store",,,,,1.7964734108655e-08
"105",78,"tcp","vettcp","vettcp",,,,,3.16342422491119e-08
"106",78,"udp","vettcp","vettcp",,,,,4.71444211836572e-10
"107",79,"tcp","finger","Finger",,,,,1.48379030904e-06
"108",79,"udp","finger","Finger",,,,,3.45867649766831e-10
"109",80,"tcp","http","World Wide Web HTTP",,,,"Defined TXT keys: u=<username> p=<password> path=<path to document>",0.0638937537459635
"110",80,"udp","http","World Wide Web HTTP",,,,"Defined TXT keys: u=<username> p=<password> path=<path to document>",1.95898012426626e-05
"111",82,"tcp","xfer","XFER Utility",,,,,3.14082781133363e-07
"112",82,"udp","xfer","XFER Utility",,,,,1.19585888788867e-08
"113",83,"tcp","mit-ml-dev","MIT ML Device",,,,,5.32035967243161e-07
"114",83,"udp","mit-ml-dev","MIT ML Device",,,,,1.63806193416248e-10
"115",84,"tcp","ctf","Common Trace Facility",,,,,3.2268723150008e-07
"116",84,"udp","ctf","Common Trace Facility",,,,,1.30188103445505e-07
"117",85,"tcp","mit-ml-dev","MIT ML Device",,,,,1.2120844602886e-06
"118",85,"udp","mit-ml-dev","MIT ML Device",,,,,3.38319958096521e-09
"119",86,"tcp","mfcobol","Micro Focus Cobol",,,,,1.13250821377615e-07
"120",86,"udp","mfcobol","Micro Focus Cobol",,,,,6.73807485262493e-10
"121",88,"tcp","kerberos","Kerberos",,,,,2.78382813497383e-06
"122",88,"udp","kerberos","Kerberos",,,,,5.99909689730817e-08
"123",89,"tcp","su-mit-tg","SU/MIT Telnet Gateway",,,,,1.78285727685703e-07
"124",89,"udp","su-mit-tg","SU/MIT Telnet Gateway",,,,,1.23611870094322e-11
"125",90,"tcp","dnsix","DNSIX Securit Attribute Token Map",,,,,3.90058484015117e-08
"126",90,"udp","dnsix","DNSIX Securit Attribute Token Map",,,,,1.13346354524901e-09
"127",91,"tcp","mit-dov","MIT Dover Spooler",,,,,7.47034829657706e-08
"128",91,"udp","mit-dov","MIT Dover Spooler",,,,,3.94903086976836e-10
"129",92,"tcp","npp","Network Printing Protocol",,,,,3.3028600516209e-08
"130",92,"udp","npp","Network Printing Protocol",,,,,1.56438598510102e-10
"131",93,"tcp","dcp","Device Control Protocol",,,,,2.36072475987155e-08
"132",93,"udp","dcp","Device Control Protocol",,,,,4.48277218964571e-10
"133",94,"tcp","objcall","Tivoli Object Dispatcher",,,,,2.78265873393787e-08
"134",94,"udp","objcall","Tivoli Object Dispatcher",,,,,3.67315537161067e-10
"135",95,"tcp","supdup","SUPDUP",,,,,2.53413338531578e-08
"136",95,"udp","supdup","SUPDUP",,,,,2.84962198541951e-10
"137",96,"tcp","dixie","DIXIE Protocol Specification",,,,,5.02921360589833e-07
"138",96,"udp","dixie","DIXIE Protocol Specification",,,,,2.88973444657587e-11
"139",97,"tcp","swift-rvf","Swift Remote Virtural File Protocol",,,,,2.30891419524724e-08
"140",97,"udp","swift-rvf","Swift Remote Virtural File Protocol",,,,,4.30594991189427e-11
"141",98,"tcp","tacnews","TAC News",,,,,2.42465911122497e-08
"142",98,"udp","tacnews","TAC News",,,,,5.46020644721283e-10
"143",99,"tcp","metagram","Metagram Relay",,,,,4.02792143878145e-08
"144",99,"udp","metagram","Metagram Relay",,,,,6.76918247556266e-10
"145",101,"tcp","hostname","NIC Host Name Server",,,,,2.81647599455771e-08
"146",101,"udp","hostname","NIC Host Name Server",,,,,1.38879163983454e-09
"147",102,"tcp","iso-tsap","ISO-TSAP Class 0",,,,,3.64060697455809e-08
"148",102,"udp","iso-tsap","ISO-TSAP Class 0",,,,,8.22141729375693e-10
"149",103,"tcp","gppitnp","Genesis Point-to-Point Trans Net",,,,,2.13033188093548e-08
"150",103,"udp","gppitnp","Genesis Point-to-Point Trans Net",,,,,3.66333191173583e-10
"151",104,"tcp","acr-nema","ACR-NEMA Digital Imag. & Comm. 300",,,,,2.05583731021638e-08
"152",104,"udp","acr-nema","ACR-NEMA Digital Imag. & Comm. 300",,,,,3.32687841101541e-10
